snapshot_ts_ms,stage,symbol,side,strategy,signal_id,pending_id,setup_id,outcome,image_path,context_interval,entry_interval,breakout_level,entry_ref,stop,tp1,tp2,note,image_available
1773834318071,confirmed,ICPUSDT,SHORT,short_exhaustion_retest,ICPUSDT-SHORT-1773832500000-1,,ICPUSDT-SHORT-1773832500000-1,,review_snapshots/20260318/ICPUSDT_SHORT_short_exhaustion_retest_confirmed_1773832500000.png,1h,15m,2.681,2.64,2.7192000000000003,2.5608,2.4816,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail retest fail + 15m retest 35/35,
1773834319320,pending,SOLUSDT,SHORT,short_exhaustion_retest,,SOLUSDT-SHORT-EXH-1773833400000,SOLUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/SOLUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,93.25,,,,,1h exhaustion 23/35 + 15m breakdown 28/30 -> retest fail pending,
1773834324151,pending,BNBUSDT,SHORT,short_exhaustion_retest,,BNBUSDT-SHORT-EXH-1773833400000,BNBUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/BNBUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,668.0,,,,,1h exhaustion 27/35 + 15m breakdown 28/30 -> retest fail pending,
1773834330743,pending,LYNUSDT,LONG,legacy_5m_retest,,LYNUSDT-LONG-1773834000000,LYNUSDT-LONG-1773834000000,,review_snapshots/20260318/LYNUSDT_LONG_legacy_5m_retest_pending_1773834000000.png,1h,5m,0.06555,,,,,OI jump 4.72% + breakout pending + 15m flat + 1h up,
1773834334357,pending,LINKUSDT,SHORT,short_exhaustion_retest,,LINKUSDT-SHORT-EXH-1773833400000,LINKUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/LINKUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,9.687,,,,,1h exhaustion 23/35 + 15m breakdown 28/30 -> retest fail pending,
1773834335582,pending,DOTUSDT,SHORT,short_exhaustion_retest,,DOTUSDT-SHORT-EXH-1773833400000,DOTUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/DOTUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,1.62,,,,,1h exhaustion 35/35 + 15m breakdown 28/30 -> retest fail pending,
1773834338615,pending,LTCUSDT,SHORT,short_exhaustion_retest,,LTCUSDT-SHORT-EXH-1773833400000,LTCUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/LTCUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,57.26,,,,,1h exhaustion 27/35 + 15m breakdown 28/30 -> retest fail pending,
1773834342980,pending,PUMPUSDT,SHORT,short_exhaustion_retest,,PUMPUSDT-SHORT-EXH-1773833400000,PUMPUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/PUMPUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,0.002072,,,,,1h exhaustion 33/35 + 15m breakdown 28/30 -> retest fail pending,
1773834344303,pending,BCHUSDT,SHORT,short_exhaustion_retest,,BCHUSDT-SHORT-EXH-1773833400000,BCHUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/BCHUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,465.5,,,,,1h exhaustion 25/35 + 15m breakdown 27/30 -> retest fail pending,
1773834350489,pending,VIRTUALUSDT,SHORT,short_exhaustion_retest,,VIRTUALUSDT-SHORT-EXH-1773833400000,VIRTUALUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/VIRTUALUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,0.7787,,,,,1h exhaustion 33/35 + 15m breakdown 27/30 -> retest fail pending,
